epoch	tMSE	tAcc	gMSE	gAcc
1	0,2248	35,96	0,2143	69,66
2	0,4704	46,07	0,4935	43,82
3	0,3669	56,18	0,4934	43,82
4	0,4920	46,07	0,4915	42,70
5	0,4536	48,31	0,4914	42,70
6	0,4679	47,19	0,4910	42,70
7	0,3574	59,55	0,4880	43,82
8	0,4666	44,94	0,4708	42,70
9	0,3690	52,81	0,4045	44,94
10	0,3600	50,56	0,3599	51,69
11	0,2858	61,80	0,3227	57,30
12	0,3698	57,30	0,4255	52,81
13	0,4048	55,06	0,4201	52,81
14	0,3720	57,30	0,4036	51,69
15	0,3262	51,69	0,3284	55,06
16	0,1988	58,43	0,2230	61,80
17	0,3006	57,30	0,3670	60,67
18	0,3545	61,80	0,3641	61,80
19	0,2607	67,42	0,3672	60,67
20	0,3325	66,29	0,3655	61,80
21	0,3011	64,04	0,3499	60,67
22	0,3301	62,92	0,3450	60,67
23	0,2478	68,54	0,3380	64,04
24	0,3062	69,66	0,3409	64,04
25	0,2999	65,17	0,3323	62,92
26	0,3321	60,67	0,3286	65,17
27	0,2527	69,66	0,3390	64,04
28	0,3119	68,54	0,3429	64,04
29	0,3027	65,17	0,3320	64,04
30	0,3229	66,29	0,3397	62,92
31	0,2737	69,66	0,3247	66,29
32	0,3006	67,42	0,3216	67,42
33	0,2908	66,29	0,3312	66,29
34	0,3169	65,17	0,3359	65,17
35	0,2726	69,66	0,3408	65,17
36	0,3011	68,54	0,3388	65,17
37	0,2970	66,29	0,3402	64,04
38	0,3184	61,80	0,3462	62,92
39	0,2614	67,42	0,3317	66,29
40	0,3003	67,42	0,3318	66,29
41	0,2949	66,29	0,3431	62,92
42	0,3176	65,17	0,3488	62,92
43	0,2626	67,42	0,3368	65,17
44	0,2981	69,66	0,3377	65,17
45	0,2951	66,29	0,3464	62,92
46	0,3186	64,04	0,3510	62,92
47	0,2626	67,42	0,3395	65,17
48	0,3033	67,42	0,3423	64,04
49	0,2955	66,29	0,3410	64,04
50	0,3294	60,67	0,3461	62,92
51	0,2601	67,42	0,3386	65,17
52	0,3189	66,29	0,3404	64,04
53	0,2959	65,17	0,3411	64,04
54	0,3222	62,92	0,3469	62,92
55	0,2825	67,42	0,3452	62,92
56	0,3414	61,80	0,3470	61,80
57	0,2935	67,42	0,3458	62,92
58	0,2784	67,42	0,3458	62,92
59	0,2813	70,79	0,3455	62,92
60	0,3421	61,80	0,3339	64,04
61	0,2896	66,29	0,3403	62,92
62	0,2950	67,42	0,3335	64,04
63	0,2896	68,54	0,3339	61,80
64	0,2869	69,66	0,2883	70,79
65	0,2558	73,03	0,3158	65,17
